RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE
2	9022319	9022319	42.457778	20.862222	422728	205144	34TDN8867200614	NK34-05	P	PPL		KV	14				N	srp			GAVAZ	Gavaz	Gavaz	GAVAZ	Gavaz	Gavaz		2009-04-08
2	9022319	11037887	42.457778	20.862222	422728	205144	34TDN8867200614	NK34-05	P	PPL		KV	14				NS	srp			ГАВАЗ	Гаваз	Гаваз	ГАВАЗ	Гаваз	Гаваз		2009-05-03
2	413073	522373	42.6956	20.111724	424144	200642	34TDN2724127395	NK34-05	P	PPLL		KV	18				V	sqi			NEDZHINAT	Nedzhinat	Nedzhinat	NEDZHINAT	Nedzhinat	Nedzhinat		2009-04-08
2	413073	522372	42.6956	20.111724	424144	200642	34TDN2724127395	NK34-05	P	PPLL		KV	18				V				NEDZINAT	NedŹinat	NedZinat	NEDZINAT	NedŹinat	NedZinat		2009-04-08
2	413073	522371	42.6956	20.111724	424144	200642	34TDN2724127395	NK34-05	P	PPLL		KV	18				N	srp			MICINAT	Micinat	Micinat	MICINAT	Micinat	Micinat		2009-04-08
2	-77813	6271513	42.678333	20.277778	424042	201640	34TDN4082725348	NK34-05	P	PPLL		KV	18				V	sqi			CEROVERHA	Cerovërha	Ceroverha	CEROVERHA	Cerovërha	Ceroverha		2009-04-08
2	-77813	520458	42.678333	20.277778	424042	201640	34TDN4082725348	NK34-05	P	PPLL		KV	18				V	sqi			CEROVERHI	Cërovërhi	Ceroverhi	CEROVERHI	Cërovërhi	Ceroverhi		2009-04-08
2	-77813	6271514	42.678333	20.277778	424042	201640	34TDN4082725348	NK34-05	P	PPLL		KV	18				V	sqi			CEROVERHE	Cerovërhë	Ceroverhe	CEROVERHE	Cerovërhë	Ceroverhe		2009-04-08
2	-77813	11063494	42.678333	20.277778	424042	201640	34TDN4082725348	NK34-05	P	PPLL		KV	18				D	sqi			BREGUIZI	Bregu i Zi	Bregu i Zi	BREGUIZI	Bregu i Zi	Bregu i Zi		2009-05-25
2	-77813	11063493	42.678333	20.277778	424042	201640	34TDN4082725348	NK34-05	P	PPLL		KV	18				V	sqi			BREGIZI	Breg i Zi	Breg i Zi	BREGIZI	Breg i Zi	Breg i Zi		2009-05-25
2	-77813	520455	42.678333	20.277778	424042	201640	34TDN4082725348	NK34-05	P	PPLL		KV	18				V	sqi			CARRAVRR	Carravrr	Carravrr	CARRAVRR	Carravrr	Carravrr		2009-04-08
2	-77813	-113990	42.678333	20.277778	424042	201640	34TDN4082725348	NK34-05	P	PPLL		KV	18				N	srp			CRNIVRH	Crni Vrh	Crni Vrh	CRNIVRH	Crni Vrh	Crni Vrh		2009-04-08
2	-77813	11063492	42.678333	20.277778	424042	201640	34TDN4082725348	NK34-05	P	PPLL		KV	18				NS	srp			ЦРНИВРХ	Црни Врх	Црни Врх	ЦРНИВРХ	Црни Врх	Црни Врх		2009-05-25
2	411579	519003	42.779722	21.141667	424647	210830	34TEN1158836364	NK34-05	P	PPL		KV	19				N	srp			PIREVAMAHALA	Pireva Mahala	Pireva Mahala	PIREVAMAHALA	Pireva Mahala	Pireva Mahala		2009-04-08
2	412487	11037843	42.473611	20.738333	422825	204418	34TDN7849102396	NK34-05	P	PPLL		KV	14				NS	srp			ВЕСЕЉОВИЋ	Весељовић	Весељовић	ВЕСЕЉОВИЋ	Весељовић	Весељовић		2009-05-03
2	412487	521167	42.473611	20.738333	422825	204418	34TDN7849102396	NK34-05	P	PPLL		KV	14				N	srp			VESELJOVIC	Veseljović	Veseljovic	VESELJOVIC	Veseljović	Veseljovic		2009-04-08
2	-97993	-143281	42.851111	20.889722	425104	205323	34TDN9099044287	NK34-05	P	PPL		KV	15				N	srp			SVINJARE	Svinjare	Svinjare	SVINJARE	Svinjare	Svinjare		2009-04-08
2	-97993	11039889	42.851111	20.889722	425104	205323	34TDN9099044287	NK34-05	P	PPL		KV	15				NS	srp			СВИЊАРЕ	Свињаре	Свињаре	СВИЊАРЕ	Свињаре	Свињаре		2009-05-05
2	-97993	11039888	42.851111	20.889722	425104	205323	34TDN9099044287	NK34-05	P	PPL		KV	15				V	sqi			SVINJARE	Svinjarë	Svinjare	SVINJARE	Svinjarë	Svinjare		2009-05-05
2	-97993	521588	42.851111	20.889722	425104	205323	34TDN9099044287	NK34-05	P	PPL		KV	15				V	sqi			FRASHER	Frashër	Frasher	FRASHER	Frashër	Frasher		2009-04-08
2	-97993	11039890	42.851111	20.889722	425104	205323	34TDN9099044287	NK34-05	P	PPL		KV	15				D	sqi			SVINJAR	Svinjar	Svinjar	SVINJAR	Svinjar	Svinjar		2009-05-05
2	425281	11037860	42.508611	20.8525	423031	205109	34TDN8788206260	NK34-05	P	PPL		KV	14				NS	srp			МУНИШМАХАЛА	Муниш Махала	Муниш Махала	МУНИШМАХАЛА	Муниш Махала	Муниш Махала		2009-05-03
2	425281	544150	42.508611	20.8525	423031	205109	34TDN8788206260	NK34-05	P	PPL		KV	14				N	srp			MUNISMAHALA	Muniš Mahala	Munis Mahala	MUNISMAHALA	Muniš Mahala	Munis Mahala		2009-04-08
2	412508	11037950	42.449167	20.836667	422657	205012	34TDM8656999662	NK34-05	P	PPL		KV	14				NS	srp			СТОЛИЋИ	Столићи	Столићи	СТОЛИЋИ	Столићи	Столићи		2009-05-04
2	412508	521198	42.449167	20.836667	422657	205012	34TDM8656999662	NK34-05	P	PPL		KV	14				N	srp			STOLICI	Stolići	Stolici	STOLICI	Stolići	Stolici		2009-04-08
2	412509	521201	42.4475	20.843889	422651	205038	34TDM8716299475	NK34-05	P	PPL		KV	14				N	srp			GASI	Gaši	Gasi	GASI	Gaši	Gasi		2009-04-08
2	412509	11037886	42.4475	20.843889	422651	205038	34TDM8716299475	NK34-05	P	PPL		KV	14				NS	srp			ГАШИ	Гаши	Гаши	ГАШИ	Гаши	Гаши		2009-05-03
